,MBH_SIGMA,MBH_WISE
0,8.764495849609375,9.472617935733101
1,8.979866027832031,8.641933022495419
2,7.6983256340026855,8.260316604768114
3,6.6782965660095215,7.723074349281141
4,8.986621856689453,8.521954001324104
5,8.961183547973633,8.374540669328074
6,7.8197102546691895,7.837956879480661
7,7.089419841766357,7.631424651496463
8,8.729839324951172,9.180694454497718
9,7.58887243270874,7.7207573185487055
10,8.427501678466797,8.148403651753693
11,9.356298446655273,9.258116268561043
12,8.498586654663086,8.455770557400708
13,9.790958404541016,9.53728272476528
14,8.951786041259766,8.090482279594035
15,8.825033187866211,8.69516775804873
16,7.843508243560791,8.279332978402714
17,8.502761840820312,9.255425194270655
18,7.696840763092041,8.408342834139827
19,8.94234848022461,7.953931730076857
20,8.60272216796875,8.290504785841101
21,8.52248764038086,7.765438793308739
22,7.740967273712158,7.775326226930306
23,8.866294860839844,8.452936316046207
24,9.11768913269043,8.705695152546433
25,8.129732131958008,8.174721043169061
26,7.974738597869873,8.104006648177041
27,8.57359504699707,8.409704813365138
28,9.025081634521484,9.079796857153143
29,8.805944442749023,8.4658702497302
30,7.929595470428467,8.935653558676236
31,7.719009876251221,8.154624612560301
32,9.60593032836914,8.91682316821685
33,9.530817031860352,8.935562079110339
34,8.390560150146484,8.456478125399627
35,9.084814071655273,9.43657848126074
36,8.519384384155273,7.803292654439818
37,9.263383865356445,8.943968997536011
38,8.076299667358398,8.689678173964083
39,9.050640106201172,9.018248958812542
40,6.820103168487549,6.897381771084594
41,7.4689764976501465,8.293722879601386
42,7.7942376136779785,7.53494487422218
43,8.218852996826172,7.930424080073506
44,9.534133911132812,9.015832064784478
45,8.979866027832031,8.735923584005151
46,8.753313064575195,8.957139475524837
47,8.138315200805664,8.62290086515844
48,9.349119186401367,8.712202341476722
49,9.320169448852539,8.850782113722856
50,8.539995193481445,9.579909178425545
51,7.717539310455322,7.472990636124635
52,9.443504333496094,9.434197797093375
53,8.049739837646484,8.322183019221965
54,8.547163009643555,7.948506378706321
55,7.928253650665283,7.685692226153661
56,8.852027893066406,8.745164284640286
57,8.874282836914062,9.047578482998524
58,9.470256805419922,9.124826505282565
59,8.927684783935547,8.381693415085842
60,8.207012176513672,8.206883707068172
61,8.717536926269531,8.835180651896732
62,8.860065460205078,9.153851250098345
63,9.24087142944336,8.97647113182823
64,7.462399959564209,8.697323061201574
65,8.921619415283203,9.204351077356486
66,7.809837818145752,6.925923351364434
67,7.173176288604736,7.820297596371661
68,8.710884094238281,8.520093199243092
69,8.876937866210938,8.62735012773826
70,8.978174209594727,8.957675493410544
71,8.458541870117188,8.283652876501472
72,8.69369125366211,8.049102606248873
73,8.81141471862793,8.924053846818218
74,8.339609146118164,8.61362496117134
75,9.983959197998047,9.883242078711811
76,9.437978744506836,9.501335237494775
77,7.995675563812256,7.760133793812852
78,8.787614822387695,8.65223428091458
79,9.559192657470703,9.104714191589391
80,9.205146789550781,8.490570336052041
81,8.7392578125,8.80665844543867
82,7.175044536590576,7.788955894523523
83,8.762636184692383,8.808817641024184
84,8.385076522827148,8.161570959036421
85,8.198686599731445,8.11957906191469
86,8.709932327270508,8.736973040272797
87,7.627475261688232,7.849505229432413
88,8.240013122558594,8.004827377953287
89,8.732669830322266,8.368472422104762
90,8.419944763183594,7.839995923620463
91,8.794048309326172,8.134835997829384
92,8.547163009643555,7.95038580330405
93,9.137504577636719,9.05200286470226
94,8.514202117919922,8.342015283570994
95,9.136714935302734,8.833161853570056
96,8.843963623046875,8.564133770162808
97,8.493358612060547,8.475757053812618
98,9.17274284362793,9.222802133667248
99,9.472982406616211,8.826435124910484
100,8.895442962646484,8.281008930009499
101,6.9597649574279785,7.124694713958158
102,8.677331924438477,8.105151082094377
103,8.165075302124023,7.643507435626315
104,8.06242561340332,8.259936692286008
105,7.957582950592041,8.105935640827266
106,8.22357177734375,8.163009122146581
107,8.815053939819336,8.506337140231532
108,8.645235061645508,8.512990943923446
109,7.604391574859619,7.698085780599768
110,7.843508243560791,7.346891053847296
111,7.723418712615967,7.952600032739478
112,8.606710433959961,8.531124763736244
113,9.52216911315918,8.562109010655574
114,8.260980606079102,8.9711567968491
115,8.284051895141602,8.788028696170517
116,8.0318603515625,7.6882187988193795
117,8.964591979980469,9.24825061213343
118,8.893686294555664,8.872862335832657
119,7.544845104217529,7.949437050913637
120,8.577634811401367,8.638103841294582
121,8.312566757202148,7.64650299068591
122,8.38946533203125,7.949910272021667
123,8.322746276855469,8.400649151549482
124,9.164958953857422,9.020934806703647
125,9.740041732788086,9.770705227478132
126,9.32889175415039,8.522817791137687
127,8.78945541381836,8.770420564289712
128,9.15323257446289,8.685998730216475
129,7.619807720184326,7.308494511585161
130,8.864517211914062,9.312406674887376
131,8.72889518737793,8.498662218533127
132,7.49508810043335,7.633522091710178
133,8.784852981567383,8.73042848257884
134,7.957582950592041,7.742176870172514
135,8.616649627685547,8.402216205288894
136,8.493358612060547,9.045648655460695
137,7.8780598640441895,7.370605072524576
138,9.019269943237305,7.887437321932629
139,8.961183547973633,8.916226799691177
140,9.590456008911133,9.149423144163862
141,9.150880813598633,9.656939063562398
142,8.813236236572266,8.801092735595848
143,8.601724624633789,8.387710124298803
144,9.446264266967773,8.957865946844535
145,9.092876434326172,8.426730846963217
146,8.990833282470703,9.20913615454093
147,8.564481735229492,9.008159446463186
148,7.300386905670166,6.969103467568291
149,9.301153182983398,8.607729542900586
150,8.009960174560547,8.053768846093853
151,8.296642303466797,8.696194768202549
152,10.092369079589844,9.540432829897263
153,9.022592544555664,9.158378571966114
154,6.6643195152282715,6.928733271444925
155,8.330631256103516,8.853140406022765
156,9.202081680297852,8.935405681386854
157,8.759841918945312,7.850602983667908
158,8.503805160522461,8.958088115437251
159,8.234155654907227,8.593228175804633
160,6.597931385040283,7.424317216769408
161,8.33736801147461,8.958022885777307
162,8.55940055847168,8.822287578457393
163,8.44253921508789,8.69736898434789
164,9.257402420043945,9.09280131541275
165,8.058626174926758,7.78426379268607
166,8.05609130859375,8.193866517963297
167,9.193626403808594,9.402966336218345
168,9.528160095214844,9.026088117903024
169,8.64621353149414,7.870576731503762
170,8.464912414550781,8.023794937221158
171,9.402427673339844,9.143444468380356
172,9.173519134521484,8.649889491438813
173,7.983921527862549,7.846452408514486
174,9.237096786499023,8.879797629432428
175,6.305703639984131,6.341608503996726
176,9.121665954589844,8.859194271307782
177,7.937626361846924,8.627687565838313
178,9.237852096557617,8.958199137949968
179,8.977327346801758,8.61998493461342
180,6.961816310882568,7.747226118150138
181,8.543069839477539,8.522072725005543
