,MBH_SIGMA,MBH_WISE
0,7.9360246658325195,7.471293423379229
1,7.726827144622803,7.790878468676906
2,7.204596519470215,6.794397891132237
3,7.034968376159668,6.798549961242553
4,7.55140495300293,7.131429394995498
5,6.42524528503418,7.124965548730786
6,5.897262096405029,7.067063177723766
7,7.368203639984131,7.00443140503069
8,6.995844841003418,7.278145180615887
9,4.8713459968566895,6.434726108227926
10,7.110997676849365,7.2327350051269335
11,7.615335464477539,7.215748931572445
12,7.947481632232666,7.567411897281773
13,7.043816089630127,7.024655784492213
14,6.4463934898376465,7.293663560863926
15,7.635958671569824,7.243311840128806
16,6.464079856872559,7.013060302491655
17,7.2967095375061035,7.299816260319509
18,8.038528442382812,7.679762577434671
19,7.088927268981934,7.380676581748666
20,7.970431804656982,7.424671483124076
21,7.266042232513428,7.5078127394609835
22,8.71130084991455,7.641403752506433
23,7.206625938415527,7.572855936592904
24,6.3323445320129395,6.771189818013231
25,8.161711692810059,7.700921702579608
26,7.05605936050415,7.2617550233148265
27,7.503471851348877,7.694781886732047
28,7.620965957641602,7.14287538060902
29,7.895270347595215,7.263917726798958
30,6.821389198303223,7.173846556677791
31,7.56412935256958,7.582248294048823
32,7.101140975952148,6.822813151287534
33,6.908283233642578,7.437464928854987
34,7.725094795227051,8.045942932794748
35,7.117894172668457,7.106975747940922
36,5.626761436462402,6.600554396794932
37,7.625740051269531,7.872877280971856
38,8.154254913330078,7.616957913470814
39,8.10201358795166,7.214244421318933
40,7.970684051513672,7.606893353883057
41,6.428535461425781,6.654948267118301
42,5.544909954071045,6.960199806786469
43,7.8096513748168945,7.306019294517967
44,5.171782970428467,6.698125627746106
45,6.177333831787109,6.527832600298031
46,8.234696388244629,7.574932058934159
47,5.323026180267334,7.333799548872713
48,8.197484970092773,7.8356243036376965
49,7.219264984130859,7.219956357024545
50,7.19288444519043,7.196571221828925
51,6.633759021759033,7.174667444747059
52,6.934055328369141,7.508813146191225
53,6.259915351867676,6.522069630467332
54,8.197858810424805,7.65770714359928
55,5.441903591156006,6.628912434141889
56,7.906045436859131,7.504605594078469
57,6.905237197875977,7.238588461223815
58,6.681846618652344,7.028343421583357
59,7.020153999328613,7.549501447612665
60,7.7650933265686035,7.341301539361642
61,7.350217819213867,7.350222460129354
62,7.058384895324707,7.330546954270283
63,5.585294723510742,6.819333449217623
64,7.610003471374512,7.254557670764031
65,8.220211029052734,7.8467403539412635
66,8.372886657714844,7.779799951513481
67,7.661990165710449,7.624898131249789
68,6.693240165710449,6.668240336925685
69,6.833409309387207,6.962337222169007
70,6.649173736572266,6.6958472163458325
71,7.118251323699951,7.151786465555409
72,8.134028434753418,7.233778897339848
73,5.604875087738037,7.040729795546353
74,6.9531049728393555,7.3212276851086875
75,8.562705993652344,7.794590543296693
76,5.7089056968688965,6.6861717588699845
77,8.019576072692871,7.59840858480744
78,8.190320014953613,7.8252940437213665
79,6.675143718719482,7.081318875404886
80,7.547843933105469,7.4731107466226145
81,8.289583206176758,8.013495574213092
82,8.064682006835938,7.928522768268256
83,6.189364910125732,7.075284133217153
84,7.782574653625488,7.1156963579989325
85,8.129788398742676,7.691984566225325
86,8.090225219726562,8.085818721426733
87,6.83116340637207,7.545746943259919
88,8.048975944519043,6.581350342851397
89,8.662162780761719,7.336806353858673
90,8.282707214355469,7.692511461275717
91,8.197697639465332,7.806946102935514
92,7.8571929931640625,7.684386530925475
93,7.702208995819092,7.5551798992186505
94,7.2505784034729,7.508876606634107
95,6.487908363342285,6.888386036612833
96,5.469991683959961,6.78458300647755
97,7.614494323730469,7.712382390137593
98,6.692173004150391,7.160300375083733
99,8.094035148620605,7.474251424680249
100,7.077164649963379,7.389963185165683
101,8.136998176574707,7.8081062067291676
102,6.662644863128662,7.187649887033528
103,8.158431053161621,7.674928174187137
104,6.838099479675293,6.387394634713706
105,6.977451801300049,6.578302800334182
106,5.634781837463379,6.682838607848244
107,8.57657527923584,7.801003911219347
108,8.271415710449219,7.542667061049557
109,7.33196496963501,7.1285603173607965
110,6.053928852081299,6.866718789792234
111,7.445524215698242,7.059256286845752
112,8.366086959838867,7.358523587876891
113,6.041744709014893,6.953109772831579
114,7.9389262199401855,7.160262763554637
115,7.857538223266602,7.42015976222669
116,5.538084983825684,6.5987489331367915
117,7.8644185066223145,7.543268589020093
118,6.4532599449157715,6.7501224394831825
119,7.404142379760742,7.066540367398862
120,7.339869499206543,6.617985087760936
